record_id	phytoplasma	host_group	host_family	host_species	country	reference_id	full_reference
673	16SrIII A	insect	Cicadellidae	Paraphlepsius irroratus	Canada	Chiykowski & Sinha 1982	Chiykowski, L.N., Sinha, R.C. 1982. Herbaceous host plants of peach eastern X-disease agent. Canadian Journal of Plant Pathology, 4: 8–15
674	16SrIII	insect	Cicadellidae	Scaphoideus carinatus	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
675	not detected	insect	Cicadellidae	Osbornellus auronitens	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
676	not detected	insect	Cicadellidae	Norvellina seminuda	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
677	not detected	insect	Cicadellidae	Texananus majestus	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
678	not detected	insect	Cicadellidae	Prescottia lobata	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
679	16SrIII	insect	Cicadellidae	Scaphytopius acutus	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
680	16SrIII	insect	Cicadellidae	Orientus ishidae	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
681	not detected	insect	Cicadellidae	Gyponana sp.	Canada	Rosenberger & Jones 1978	Rosenberger, D.A., Jones, A.L. 1978. Leafhopper vectors of the Peach X-disease pathogen and its seasonal transmission from chokecherry. Phytopathology, 68: 782-790
682	16SrI B	insect	Cicadellidae	Tylozygus bifidus	Canada	Olivier et al 2009	Olivier, C.Y., Lowery, D.T., Stobbs, L.W. 2009. Phytoplasma diseases and their relationships with insect and plant hosts in Canadian horticultural and field crops. Canadian Entomologist, 141: 425–462
683	not detected	insect	Cicadellidae	Empoascanara prima	India	Nabi et al 2015b	Nabi, S., Dubey, D.K., Rao, G.P., Baranwal, V.K., Sharma, P. 2015b. Molecular characterization of ‘Candidatus Phytoplasma asteris’ subgroup IB associated with sesame phyllody disease and identification of its natural vector and weed reservoir in India. Australasian Plant Pathology, 44(3): 289-297
684	not detected	insect	Cicadellidae	Cofana unimaculata	India	Nabi et al 2015b	Nabi, S., Dubey, D.K., Rao, G.P., Baranwal, V.K., Sharma, P. 2015b. Molecular characterization of ‘Candidatus Phytoplasma asteris’ subgroup IB associated with sesame phyllody disease and identification of its natural vector and weed reservoir in India. Australasian Plant Pathology, 44(3): 289-297
685	not detected	insect	Cicadellidae	Exitianus indicus	India	Nabi et al 2015b	Nabi, S., Dubey, D.K., Rao, G.P., Baranwal, V.K., Sharma, P. 2015b. Molecular characterization of ‘Candidatus Phytoplasma asteris’ subgroup IB associated with sesame phyllody disease and identification of its natural vector and weed reservoir in India. Australasian Plant Pathology, 44(3): 289-297
686	16SrI B	insect	Cicadellidae	Hishimonus phycitis	India	Nabi et al 2015b	Nabi, S., Dubey, D.K., Rao, G.P., Baranwal, V.K., Sharma, P. 2015b. Molecular characterization of ‘Candidatus Phytoplasma asteris’ subgroup IB associated with sesame phyllody disease and identification of its natural vector and weed reservoir in India. Australasian Plant Pathology, 44(3): 289-297
687	16SrII D	insect	Cicadellidae	Orosius orientalis	Pakistan	Akhtar et al 2009	Akhtar, K.P., Sarwar, G., Dickinson, M., Ahmad, M., Haq, M.A., Hameed, S., Iqbal, M.J. 2009. Sesame Phyllody disease: symptomatology, etiology and transmission in Pakistan. Turkish Journal of Agriculture and Forestry, 33: 477-486
688	not detected	insect	Cicadellidae	Empoasca sp.	Pakistan	Akhtar et al 2009	Akhtar, K.P., Sarwar, G., Dickinson, M., Ahmad, M., Haq, M.A., Hameed, S., Iqbal, M.J. 2009. Sesame Phyllody disease: symptomatology, etiology and transmission in Pakistan. Turkish Journal of Agriculture and Forestry, 33: 477-486
689	not detected	insect	Cicadellidae	Neoaliturus sp.	Pakistan	Akhtar et al 2009	Akhtar, K.P., Sarwar, G., Dickinson, M., Ahmad, M., Haq, M.A., Hameed, S., Iqbal, M.J. 2009. Sesame Phyllody disease: symptomatology, etiology and transmission in Pakistan. Turkish Journal of Agriculture and Forestry, 33: 477-486
690	16SrII D	insect	Cicadellidae	Orosius orientalis	Turkey	Cengiz et al 2014	Cengiz, I., Mursel, C., Engin, Y., Rustem, U., Seymus, F., Cengiz, T., Bulent, U. 2014. Molecular identification, characterization and transmission of phytoplasmas associated with sesame phyllody in Turkey. European Journal of Plant Pathology, 139: 217-229
691	16SrI	insect	Cicadellidae	Hishimonus sellatus	Japan	Tanaka et al 2000	Tanaka, M., Osada, S., Matsuda, I. 2000. Transmission of Rhus (Rhus javanica L.) yellows by Hishimonus sellatus and host range of the causal Phytoplasma. Journal of general Plant Pathology, 66: 323-326
692	not detected	insect	Cicadellidae	Hishimonus sellatus	Japan	Tanaka et al 2000	Tanaka, M., Osada, S., Matsuda, I. 2000. Transmission of Rhus (Rhus javanica L.) yellows by Hishimonus sellatus and host range of the causal Phytoplasma. Journal of general Plant Pathology, 66: 323-326
693	16SrV A	insect	Cicadellidae	Amplicephalus curtulus	Chile	Arismendi et al 2014	Arismendi, N., Fiore, N., Carrillo, R. 2014. In Vivo Transmission of ‘Candidatus Phytoplasma ulmi’ by Amplicephalus curtulus (Hemiptera: Cicadellidae) and Its Effect on Ryegrass (Lolium multiflorum Cv. Tama). Journal of Economic Entomology, 107(1): 83-91
694	16SrV	insect	Cicadellidae	Neoaliturus haematoceps	Israel	Weintraub & Orenstein 2004	Weintraub, G.P., Orenstein, S. 2004. Potential leafhopper vectors of phytoplasma in carrots. International Journal of Tropical Insect Science, 24(3): 228–235
695	16SrV	insect	Cicadellidae	Neoaliturus fenestratus	Israel	Weintraub & Orenstein 2004	Weintraub, G.P., Orenstein, S. 2004. Potential leafhopper vectors of phytoplasma in carrots. International Journal of Tropical Insect Science, 24(3): 228–235
696	16SrV	insect	Cicadellidae	Batracomorphus signatus	Israel	Weintraub & Orenstein 2004	Weintraub, G.P., Orenstein, S. 2004. Potential leafhopper vectors of phytoplasma in carrots. International Journal of Tropical Insect Science, 24(3): 228–235
697	16SrV	insect	Cicadellidae	Austroagallia sinuata	Israel	Weintraub & Orenstein 2004	Weintraub, G.P., Orenstein, S. 2004. Potential leafhopper vectors of phytoplasma in carrots. International Journal of Tropical Insect Science, 24(3): 228–235
698	16SrIII J	insect	Cicadellidae	Bergallia valdiviana	Chile	Quiroga et al 2015	Quiroga, N., Gonzalez, X., Zamorano, A., Pino, A.M., Picciau, L., Alma, A., Paltrinieri, S., Contaldo, N., Bertaccini, A., Fiore, N. 2015. Transmission of 16SrIII-J phytoplasma by Bergallia valdiviana Berg 1881 leafhopper. Phytopathogenic Mollicutes, 5(1): S47-S48
699	16SrXII A	insect	Cicadellidae	Anoplotettix putoni	Italy: Lazio	Bagnoli et al 2005	Bagnoli, B., Pinzauti, F., Trivellone, V. 2005. Indagine preliminare sugli auchenorrinchi potenziali vettori di Stolbur in un’area viticola del Lazio. Petria, 15(1/2): 55-58
700	16SrXIV	insect	Cicadellidae	Psammotettix cephalotes	Germany	Seemuller et al 1994	Seemuller, E., Schneider, B., Maurer, R., Ahrens, U., Daire, X., Kison, H., Lorenz, K.H., Firrao, G., Avinent, L., Sears, B.B., Stackebrandt, E. 1994. Phylogenetic classification of phytopathogenic mollicutes by sequence analysis of 16S ribosomal DNA. Internatonal Journal of Systematic Bacteriology, 44: 440-446
701	16SrXIV B	insect	Cicadellidae	Exitianus capicola	Iran	Salehi et al 2009b	Salehi, M., Izadpanah, K., Siampour, M., Taghizadeh, M. 2009b. Molecular characterization and transmission of bermuda grass white leaf phytoplasma in Iran. Journal of Plant Pathology, 91: 655-661
702	16SrXIV A	insect	Cicadellidae	Exitianus capicola	Iran	Salehi et al 2009b	Salehi, M., Izadpanah, K., Siampour, M., Taghizadeh, M. 2009b. Molecular characterization and transmission of bermuda grass white leaf phytoplasma in Iran. Journal of Plant Pathology, 91: 655-661
703	16SrIII S	insect	Cicadellidae	Colladonus montanus	USA	Zhao et al 2009	Zhao, Y., Wei, W., Lee, I.-M., Shao, J., Suo, X., Davis, R.E. 2009. Construction of an interactive online phytoplasma classification tool, iPhyClassifier, and its application in analysis of the peach X-disease phytoplasma group (16SrIII). International Journal of Systematic and Evolutionary Microbiology, 59: 2582–2593
704	16SrXI C	insect	Cicadellidae	Psammotettix cephalotes	Germany	Seemuller et al 1994	Seemuller, E., Schneider, B., Maurer, R., Ahrens, U., Daire, X., Kison, H., Lorenz, K.H., Firrao, G., Avinent, L., Sears, B.B., Stackebrandt, E. 1994. Phylogenetic classification of phytopathogenic mollicutes by sequence analysis of 16S ribosomal DNA. Internatonal Journal of Systematic Bacteriology, 44: 440-446
705	16SrXVII A	insect	Cicadellidae	Empoasca papayae	Cuba	Arocha et al 2005c	Arocha, Y., Lopez, M., Pinol, B., Fernandez, M., Picornell, B., Almeida, R., Palenzuela, I., Wilson, M.R., Jones, P. 2005c. ‘Candidatus Phytoplasma graminis’ and ‘Candidatus Phytoplasma caricae’, two novel phytoplasmas associated with diseases of sugarcane, weeds and papaya in Cuba. International Journal of Systematic and Evolutionary Microbiology, 55: 2451-2463
706	16SrXII B	insect	Cicadellidae	Orosius sp.	Australia	Constable et al 2016	Constable, F.E., Nancarrow, N., Molero, Obregon, S.J., Kelly, G., Rodoni, B. 2016. Developing molecular diagnostic for the detection of strawberry viruses. Final report for Horticultural Innovation Australia Limited progject number BS 11008
707	16SrXII B	insect	Cicadellidae	Xestocephalus sp.	Australia	Constable et al 2016	Constable, F.E., Nancarrow, N., Molero, Obregon, S.J., Kelly, G., Rodoni, B. 2016. Developing molecular diagnostic for the detection of strawberry viruses. Final report for Horticultural Innovation Australia Limited progject number BS 11008
708	16SrXII B	insect	Dictyopharidae	Thanatodictya	Australia	Constable et al 2016	Constable, F.E., Nancarrow, N., Molero, Obregon, S.J., Kelly, G., Rodoni, B. 2016. Developing molecular diagnostic for the detection of strawberry viruses. Final report for Horticultural Innovation Australia Limited progject number BS 11008
709	16SrXII B	insect	Cicadellidae	Arawa variegata	New Zealand	Charles et al 2002	Charles, J.G., Allan, D.J., Andersen, M.T., Langford, G., Mossop, D. 2002. The search for a vector of strawberry lethal yellows (SLY) in New Zealand. New Zealand plan protection, 55: 385-389
710	16SrXII B	insect	Cicadellidae	Maiestas hospes	New Zealand	Charles et al 2002	Charles, J.G., Allan, D.J., Andersen, M.T., Langford, G., Mossop, D. 2002. The search for a vector of strawberry lethal yellows (SLY) in New Zealand. New Zealand plan protection, 55: 385-389
711	16SrII D	insect	Cicadellidae	Orosius orientalis	Australia	Beeland 2002	Beeland, L. 2002. Developing AGI management strategy. GWRDC Final report DNR00/02
712	16SrI	insect	Cicadellidae	Gyponana angulata	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
713	16SrI	insect	Cicadellidae	Scaphoideus titanus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
714	16SrI B	insect	Cicadellidae	Amplicephalus inimicus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
715	16SrI A	insect	Cicadellidae	Aceratagallia humilis	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
716	16SrI A	insect	Cicadellidae	Empoasca fabae	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
717	16SrI A	insect	Cicadellidae	Erythroneura ziczac	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
718	16SrI A	insect	Cicadellidae	Macrosteles quadrilineatus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
719	16SrI B	insect	Cicadellidae	Macrosteles quadrilineatus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
720	16SrI S	insect	Cicadellidae	Macrosteles quadrilineatus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
721	16SrI W	insect	Cicadellidae	Paraphlepsius irroratus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
722	16SrVII A	insect	Cicadellidae	Scaphoideus titanus	Canada	Olivier et al 2014	Olivier, C., Saguez, J, Stobbs, L., Lowery, T., Galka, B., Whybourne, K., Bittner, L., Chen, X., Vincent, C. 2014. Occurrence of phytoplasmas in leafhoppers and cultivated grapevines in Canada. Agriculture, Ecosystems and Environment, 195: 91-97
723	16SrIX	insect	Cicadellidae	Scaphytopius marginelineatus	Brazil	Marques et al 2010	Marques, R.N., Teixeira, D.C., Martins, E.C., Leite, A.P.R., Sanches, A.L., Yamamoto, P.T., Lopes, J.R.S. 2010. Detection of the phytoplasma associated with citrus huanglongbing symptoms in the leafhopper Scaphytopius marginelineatus. Citrus Research and Technology, 31: 40
724	16SrIII	insect	Cicadellidae	Agallia albidula	Brazil	Barbosa 2010	Barbosa, J.C. 2010. Caracterização molecular e diversidade de fitoplasmas em pomares de citros no Estado de São Paulo. PhD Thesis
725	16SrXXII A	insect	Derbidae	Diostrombus mkurangai	Mozambique	Bila et al 2017	Bila, J., Mondjana, A., Samils, B., Hogberg, N., Wilson, M.R., Santos, L. 2017. First report of ‘Candidatus Phytoplasma palmicola’ detection in the planthopper Diostrombus mkurangai in Mozambique. Bulletin of Insectology, 70(1): 45-48
726	16SrIV	insect	Derbidae	Cedusa sp.	Jamaica	Brown et al 2006	Brown, S., Been, B.O., McLaughlin, W.A. 2006. Detection and variability of the lethal yellowing group (16Sr IV) phytoplasmas in the Cedusa sp. (Hemiptera:Auchenorrhyncha: Derbidae) in Jamaica. Annals of Applied Biology, 149(1): 53-62
727	16SrV C	insect	Psyllidae	Psylla sp.	Germany	Maixner & Reinert 1999	Maixner, M., Reinert, W. 1999. Oncopsis alni (Schrank) (Auchenorrhyncha: Cicadellidae) as a vector of the alder yellows phytoplasma of Alnus glutinosa (L.) Gaertn. European Journal of Plant Pathology, 105: 87-94
728	not detected	insect	Cicadellidae	Idiocerus stigmaticalis	Germany	Maixner & Reinert 1999	Maixner, M., Reinert, W. 1999. Oncopsis alni (Schrank) (Auchenorrhyncha: Cicadellidae) as a vector of the alder yellows phytoplasma of Alnus glutinosa (L.) Gaertn. European Journal of Plant Pathology, 105: 87-94
729	16SrI	insect	Cicadellidae	Orosius orientalis	Israel: Golan	Tanne et al 2001	Tanne, E., Boudon-Padieu, E., Clair, D., Davidovich, M., Melamed, S., Klein, M. 2001. Detection of phytoplasma by polymerase chain reaction of insect feeding medium and its use in determining vectoring ability. Phytopathology, 91: 741–746
730	16SrI	insect	Cicadellidae	Anaceratagallia laevis	Israel: Golan	Tanne et al 2001	Tanne, E., Boudon-Padieu, E., Clair, D., Davidovich, M., Melamed, S., Klein, M. 2001. Detection of phytoplasma by polymerase chain reaction of insect feeding medium and its use in determining vectoring ability. Phytopathology, 91: 741–746
731	16SrVI A	insect	Cicadellidae	Orosius orientalis	Iran: Kerman	Omidi et al 2010	Omidi, M., Hosseini Pour, A., Massumi, H., Rahimian, H. 2010. Investigation on transmittance status of Orisius albicinctus (Hemiptera: Cicadellidae) as a natural vector of phytoplasmas in Southeastern Iran. Journal of Plant Pathology, 92(2): 531-535
732	16SrXII A	insect	Cixiidae	Hyalesthes obsoletus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
733	16SrXII A	insect	Cicadellidae	Mocydia crocea	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
734	16SrXII A	insect	Cicadellidae	Euscelis lineolata	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
735	not detected	insect	Cicadellidae	Aphrodes sp.	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
736	not detected	insect	Cicadellidae	Psammotettix	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
737	not detected	insect	Cicadellidae	Jassargus obtusivalvis	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
738	not detected	insect	Cicadellidae	Fieberiella florii	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
739	not detected	insect	Cicadellidae	Neoaliturus fenestratus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
740	not detected	insect	Delphacidae	Asiraca clavicornis	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
741	not detected	insect	Cixiidae	Hyalesthes scotti	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
742	not detected	insect	Cixiidae	Hyalesthes luteipes	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
743	not detected	insect	Cixiidae	Oliarus sp.	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
744	not detected	insect	Dictyopharidae	Dictyophara europaea	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
745	not detected	insect	Caliscelidae	Caliscelis bonelli	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
746	not detected	insect	Issidae	Issus coleoptratus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
747	not detected	insect	Issidae	Hysteropterum	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
748	not detected	insect	Aphrophoridae	Aphrophora sp.	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
749	not detected	insect	Cercopidae	Cercopis intermedia	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
750	not detected	insect	Aphrophoridae	Philaenus spumarius	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
751	not detected	insect	Cicadellidae	Empoasca vitis	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
752	not detected	insect	Cicadellidae	Macropsis fuscula	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
753	not detected	insect	Cicadellidae	Penthimia nigra	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
754	not detected	insect	Cicadellidae	Eupelix cuspidata	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
755	not detected	insect	Cicadellidae	Austroagallia sinuata	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
756	not detected	insect	Cicadellidae	Anaceratagallia venosa	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
757	not detected	insect	Cicadellidae	Megophthalmus scabripennis	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
758	not detected	insect	Cicadellidae	Adarrus multinotatus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
759	not detected	insect	Cicadellidae	Allygidius abbreviatus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
760	not detected	insect	Cicadellidae	Arocephalus longiceps	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
761	not detected	insect	Cicadellidae	Phlepsius intricatus	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
762	not detected	insect	Cicadellidae	Cicadula placida	France: Auvergne	Sforza et al 1998	Sforza, R., Clair, D., Daire, X., Larrue, J., Boudon-Padieu, E. 1998. The Role of Hyalesthes obsoletus (Hemiptera: Cixiidae) in the Occurrence of Bois noir of Grapevines in France. Journal of Phytopathology, 146: 549-556
